name,website,chain_id,seeds,persistent_peers,rpcs,apis,block_height,block_speed,usd_price,usd_market_cap,usd_fully_diluted_valuation,usd_24h_volume,ibc_30d_volume,ibc_30d_transfers,30d_txs,30d_active_addresses
Sei,https://www.sei.io/,pacific-1,5,3,7,7,56223022,0.4508198625,0.5995,1454009161,5995914066,144108101,0,0,0,0
Sentinel,https://sentinel.co/,sentinelhub-2,5,36,10,8,14817754,5.921042753438462,0.00153311,26255616,40741595,201043,1623576,6374,12474378,59968
SGE,,sgenet-1,8,10,13,13,2243281,5.975839420538948,0.211843,0.0,0,0,96173,489,84831,385
Shareledger,https://www.sharering.network/,ShareRing-VoyagerNet,0,0,1,1,14540148,5.778964795475621,0,0,0,0,0,0,0,0
Shentu,https://www.shentu.technology/,shentu-2.2,4,3,8,8,17094920,5.944738512584601,0.629462,82355574,82355263,1569408,665933,3636,191876,1713
Sifchain,https://sifchain.finance/,sifchain-1,3,5,4,4,15951309,5.813140036136522,0.00028784,1272808,1286203,86553,391277,7242,145416,5175
SIX Protocol,,sixnet,2,0,1,1,8340585,6.455055305479808,0,0,0,0,0,0,0,0
Sommelier,https://sommelier.finance/,sommelier-3,6,2,8,8,12991404,5.71292391815227,0.156875,39203913,78519647,173457,6407212,36623,332966,5010
Source,https://www.sourceprotocol.io/,source-1,5,8,11,10,1807835,5.677497920874421,0.04070371,0.0,16146267,8849.34,397193,7312,1713039,8230
StaFi Hub,https://stafihub.io/,stafihub-1,1,5,3,3,8076447,5.730247171557984,0.412628,23247436,47073606,1470232,0,0,0,0
Stargaze,https://stargaze.zone/,stargaze-1,10,3,19,19,12152265,5.8540186267502,0.0374586,92724050,111872345,128519,10140513,75441,440033,45551
Starname,https://www.starname.me/,iov-mainnet-ibc,1,2,4,4,18247445,5.9786667423042505,0.0022816,307931,307931,19.43,4209,8,1937,115
Stratos,https://www.thestratos.org,stratos-1,4,1,4,3,1957238,6.686415084121136,0.770619,47024028,76588860,268771,0,0,0,0
